address,date,unixtime,uptime,state,sub_state,event,payload0,payload1,payload2,payload3,payload4
95,2022/03/18 18:47:11,1647629231,9167016,3,0,15,1,0,0,0,0
96,2022/03/18 18:47:11,1647629231,9167018,3,0,15,2,0,0,0,0
97,2022/03/18 18:47:11,1647629231,9167020,3,0,15,3,0,0,0,0
98,2022/03/18 18:49:12,1647629352,9288012,3,0,15,0,0,0,0,0
99,2022/03/18 18:49:12,1647629352,9288015,3,0,15,1,0,0,0,0
100,2022/03/18 18:49:12,1647629352,9288017,3,0,15,2,0,0,0,0
101,2022/03/18 18:49:12,1647629352,9288019,3,0,15,3,0,0,0,0
102,2022/03/18 18:51:13,1647629473,9409011,3,0,15,0,0,0,0,0
103,2022/03/18 18:51:13,1647629473,9409013,3,0,15,1,0,0,0,0
104,2022/03/18 18:51:13,1647629473,9409015,3,0,15,2,0,0,0,0
105,2022/03/18 18:51:13,1647629473,9409017,3,0,15,3,0,0,0,0
106,2022/03/18 18:53:14,1647629594,9530008,3,0,15,0,0,0,0,0
107,2022/03/18 18:53:14,1647629594,9530011,3,0,15,1,0,0,0,0
108,2022/03/18 18:53:14,1647629594,9530013,3,0,15,2,0,0,0,0
109,2022/03/18 18:53:14,1647629594,9530015,3,0,15,3,0,0,0,0
110,2022/03/18 18:55:15,1647629715,9651012,3,0,15,0,0,0,0,0
111,2022/03/18 18:55:15,1647629715,9651014,3,0,15,1,0,0,0,0
112,2022/03/18 18:55:15,1647629715,9651016,3,0,15,2,0,0,0,0
113,2022/03/18 18:55:15,1647629715,9651018,3,0,15,3,0,0,0,0
114,2022/03/18 18:57:16,1647629836,9772011,3,0,15,0,0,0,0,0
115,2022/03/18 18:57:16,1647629836,9772014,3,0,15,1,0,0,0,0
116,2022/03/18 18:57:16,1647629836,9772016,3,0,15,2,0,0,0,0
117,2022/03/18 18:57:16,1647629836,9772018,3,0,15,3,0,0,0,0
118,2022/03/18 18:59:17,1647629957,9893010,3,0,15,0,0,0,0,0
119,2022/03/18 18:59:17,1647629957,9893013,3,0,15,1,0,0,0,0
120,2022/03/18 18:59:17,1647629957,9893015,3,0,15,2,0,0,0,0
121,2022/03/18 18:59:17,1647629957,9893017,3,0,15,3,0,0,0,0
122,2022/03/18 19:01:18,1647630078,10014009,3,0,15,0,0,0,0,0
123,2022/03/18 19:01:18,1647630078,10014012,3,0,15,1,0,0,0,0
124,2022/03/18 19:01:18,1647630078,10014014,3,0,15,2,0,0,0,0
125,2022/03/18 19:01:18,1647630078,10014016,3,0,15,3,0,0,0,0
126,2022/03/18 19:03:19,1647630199,10135007,3,0,15,0,0,0,0,0
127,2022/03/18 19:03:19,1647630199,10135009,3,0,15,1,0,0,0,0
128,2022/03/18 19:03:19,1647630199,10135011,3,0,15,2,0,0,0,0
129,2022/03/18 19:03:19,1647630199,10135013,3,0,15,3,0,0,0,0
130,2022/03/18 19:05:20,1647630320,10256009,3,0,15,0,0,0,0,0
131,2022/03/18 19:05:20,1647630320,10256012,3,0,15,1,0,0,0,0
132,2022/03/18 19:05:20,1647630320,10256014,3,0,15,2,0,0,0,0
133,2022/03/18 19:05:20,1647630320,10256016,3,0,15,3,0,0,0,0
134,2022/03/18 19:07:21,1647630441,10377013,3,0,15,0,0,0,0,0
135,2022/03/18 19:07:21,1647630441,10377016,3,0,15,1,0,0,0,0
136,2022/03/18 19:07:21,1647630441,10377018,3,0,15,2,0,0,0,0
137,2022/03/18 19:07:21,1647630441,10377020,3,0,15,3,0,0,0,0
138,2022/03/18 19:09:22,1647630562,10498009,3,0,15,0,0,0,0,0
139,2022/03/18 19:09:22,1647630562,10498011,3,0,15,1,0,0,0,0
140,2022/03/18 19:09:22,1647630562,10498013,3,0,15,2,0,0,0,0
141,2022/03/18 19:09:22,1647630562,10498015,3,0,15,3,0,0,0,0
142,2022/03/18 19:11:23,1647630683,10619013,3,0,15,0,0,0,0,0
143,2022/03/18 19:11:23,1647630683,10619015,3,0,15,1,0,0,0,0
144,2022/03/18 19:11:23,1647630683,10619017,3,0,15,2,0,0,0,0
145,2022/03/18 19:11:23,1647630683,10619019,3,0,15,3,0,0,0,0
146,2022/03/18 19:13:24,1647630804,10740012,3,0,15,0,0,0,0,0
147,2022/03/18 19:13:24,1647630804,10740015,3,0,15,1,0,0,0,0
148,2022/03/18 19:13:24,1647630804,10740017,3,0,15,2,0,0,0,0
149,2022/03/18 19:13:24,1647630804,10740019,3,0,15,3,0,0,0,0
150,2022/03/18 19:15:25,1647630925,10861011,3,0,15,0,0,0,0,0
151,2022/03/18 19:15:25,1647630925,10861013,3,0,15,1,0,0,0,0
152,2022/03/18 19:15:25,1647630925,10861015,3,0,15,2,0,0,0,0
153,2022/03/18 19:15:25,1647630925,10861017,3,0,15,3,0,0,0,0
154,2022/03/18 19:17:26,1647631046,10982016,3,0,15,0,0,0,0,0
155,2022/03/18 19:17:26,1647631046,10982018,3,0,15,1,0,0,0,0
156,2022/03/18 19:17:26,1647631046,10982020,3,0,15,2,0,0,0,0
157,2022/03/18 19:17:26,1647631046,10982022,3,0,15,3,0,0,0,0
158,2022/03/18 19:19:27,1647631167,11103012,3,0,15,0,0,0,0,0
159,2022/03/18 19:19:27,1647631167,11103014,3,0,15,1,0,0,0,0
160,2022/03/18 19:19:27,1647631167,11103016,3,0,15,2,0,0,0,0
161,2022/03/18 19:19:27,1647631167,11103018,3,0,15,3,0,0,0,0
162,2022/03/18 19:21:28,1647631288,11224007,3,0,15,0,0,0,0,0
163,2022/03/18 19:21:28,1647631288,11224009,3,0,15,1,0,0,0,0
164,2022/03/18 19:21:28,1647631288,11224011,3,0,15,2,0,0,0,0
165,2022/03/18 19:21:28,1647631288,11224013,3,0,15,3,0,0,0,0
166,2022/03/18 19:23:29,1647631409,11345006,3,0,15,0,0,0,0,0
167,2022/03/18 19:23:29,1647631409,11345009,3,0,15,1,0,0,0,0
168,2022/03/18 19:23:29,1647631409,11345011,3,0,15,2,0,0,0,0
169,2022/03/18 19:23:29,1647631409,11345013,3,0,15,3,0,0,0,0
170,2022/03/18 19:25:30,1647631530,11466006,3,0,15,0,0,0,0,0
171,2022/03/18 19:25:30,1647631530,11466009,3,0,15,1,0,0,0,0
172,2022/03/18 19:25:30,1647631530,11466011,3,0,15,2,0,0,0,0
173,2022/03/18 19:25:30,1647631530,11466013,3,0,15,3,0,0,0,0
174,2022/03/18 19:27:31,1647631651,11587008,3,0,15,0,0,0,0,0
175,2022/03/18 19:27:31,1647631651,11587011,3,0,15,1,0,0,0,0
176,2022/03/18 19:27:31,1647631651,11587013,3,0,15,2,0,0,0,0
177,2022/03/18 19:27:31,1647631651,11587015,3,0,15,3,0,0,0,0
178,2022/03/18 19:29:32,1647631772,11708007,3,0,15,0,0,0,0,0
179,2022/03/18 19:29:32,1647631772,11708009,3,0,15,1,0,0,0,0
180,2022/03/18 19:29:32,1647631772,11708011,3,0,15,2,0,0,0,0
181,2022/03/18 19:29:32,1647631772,11708013,3,0,15,3,0,0,0,0
182,2022/03/18 19:31:33,1647631893,11829008,3,0,15,0,0,0,0,0
183,2022/03/18 19:31:33,1647631893,11829010,3,0,15,1,0,0,0,0
184,2022/03/18 19:31:33,1647631893,11829012,3,0,15,2,0,0,0,0
185,2022/03/18 19:31:33,1647631893,11829014,3,0,15,3,0,0,0,0
186,2022/03/18 19:33:34,1647632014,11950007,3,0,15,0,0,0,0,0
187,2022/03/18 19:33:34,1647632014,11950009,3,0,15,1,0,0,0,0
188,2022/03/18 19:33:34,1647632014,11950011,3,0,15,2,0,0,0,0
189,2022/03/18 19:33:34,1647632014,11950013,3,0,15,3,0,0,0,0
190,2022/03/18 19:35:35,1647632135,12071009,3,0,15,0,0,0,0,0
191,2022/03/18 19:35:35,1647632135,12071012,3,0,15,1,0,0,0,0
192,2022/03/18 19:35:35,1647632135,12071014,3,0,15,2,0,0,0,0
193,2022/03/18 19:35:35,1647632135,12071016,3,0,15,3,0,0,0,0
194,2022/03/18 19:37:36,1647632256,12192016,3,0,15,0,0,0,0,0
195,2022/03/18 19:37:36,1647632256,12192019,3,0,15,1,0,0,0,0
196,2022/03/18 19:37:36,1647632256,12192021,3,0,15,2,0,0,0,0
197,2022/03/18 19:37:36,1647632256,12192023,3,0,15,3,0,0,0,0
198,2022/03/18 19:39:37,1647632377,12313006,3,0,15,0,0,0,0,0
199,2022/03/18 19:39:37,1647632377,12313009,3,0,15,1,0,0,0,0
200,2022/03/18 19:39:37,1647632377,12313011,3,0,15,2,0,0,0,0
201,2022/03/18 19:39:37,1647632377,12313013,3,0,15,3,0,0,0,0
202,2022/03/18 19:41:38,1647632498,12434011,3,0,15,0,0,0,0,0
203,2022/03/18 19:41:38,1647632498,12434014,3,0,15,1,0,0,0,0
204,2022/03/18 19:41:38,1647632498,12434016,3,0,15,2,0,0,0,0
205,2022/03/18 19:41:38,1647632498,12434018,3,0,15,3,0,0,0,0
206,2022/03/18 19:43:39,1647632619,12555006,3,0,15,0,0,0,0,0
207,2022/03/18 19:43:39,1647632619,12555008,3,0,15,1,0,0,0,0
208,2022/03/18 19:43:39,1647632619,12555010,3,0,15,2,0,0,0,0
209,2022/03/18 19:43:39,1647632619,12555012,3,0,15,3,0,0,0,0
210,2022/03/18 19:45:40,1647632740,12676014,3,0,15,0,0,0,0,0
211,2022/03/18 19:45:40,1647632740,12676017,3,0,15,1,0,0,0,0
212,2022/03/18 19:45:40,1647632740,12676019,3,0,15,2,0,0,0,0
213,2022/03/18 19:45:40,1647632740,12676021,3,0,15,3,0,0,0,0
214,2022/03/18 19:47:41,1647632861,12797014,3,0,15,0,0,0,0,0
215,2022/03/18 19:47:41,1647632861,12797016,3,0,15,1,0,0,0,0
216,2022/03/18 19:47:41,1647632861,12797018,3,0,15,2,0,0,0,0
217,2022/03/18 19:47:41,1647632861,12797020,3,0,15,3,0,0,0,0
218,2022/03/18 19:49:42,1647632982,12918016,3,0,15,0,0,0,0,0
219,2022/03/18 19:49:42,1647632982,12918018,3,0,15,1,0,0,0,0
220,2022/03/18 19:49:42,1647632982,12918020,3,0,15,2,0,0,0,0
221,2022/03/18 19:49:42,1647632982,12918022,3,0,15,3,0,0,0,0
222,2022/03/18 19:51:43,1647633103,13039008,3,0,15,0,0,0,0,0
223,2022/03/18 19:51:43,1647633103,13039010,3,0,15,1,0,0,0,0
224,2022/03/18 19:51:43,1647633103,13039012,3,0,15,2,0,0,0,0
225,2022/03/18 19:51:43,1647633103,13039014,3,0,15,3,0,0,0,0
226,2022/03/18 19:53:44,1647633224,13160011,3,0,15,0,0,0,0,0
227,2022/03/18 19:53:44,1647633224,13160013,3,0,15,1,0,0,0,0
228,2022/03/18 19:53:44,1647633224,13160015,3,0,15,2,0,0,0,0
229,2022/03/18 19:53:44,1647633224,13160017,3,0,15,3,0,0,0,0
230,2022/03/18 19:55:45,1647633345,13281009,3,0,15,0,0,0,0,0
231,2022/03/18 19:55:45,1647633345,13281011,3,0,15,1,0,0,0,0
232,2022/03/18 19:55:45,1647633345,13281013,3,0,15,2,0,0,0,0
233,2022/03/18 19:55:45,1647633345,13281015,3,0,15,3,0,0,0,0
234,2022/03/18 19:57:46,1647633466,13402007,3,0,15,0,0,0,0,0
235,2022/03/18 19:57:46,1647633466,13402010,3,0,15,1,0,0,0,0
236,2022/03/18 19:57:46,1647633466,13402012,3,0,15,2,0,0,0,0
237,2022/03/18 19:57:46,1647633466,13402014,3,0,15,3,0,0,0,0
238,2022/03/18 19:59:47,1647633587,13523008,3,0,15,0,0,0,0,0
239,2022/03/18 19:59:47,1647633587,13523010,3,0,15,1,0,0,0,0
240,2022/03/18 19:59:47,1647633587,13523012,3,0,15,2,0,0,0,0
241,2022/03/18 19:59:47,1647633587,13523014,3,0,15,3,0,0,0,0
242,2022/03/18 20:01:48,1647633708,13644012,3,0,15,0,0,0,0,0
243,2022/03/18 20:01:48,1647633708,13644014,3,0,15,1,0,0,0,0
